Name,URL,Author,Price,Number of Ratings,Average Rating
"The Power of Habit: Why We Do What We Do, and How to Change",http://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1,Charles Duhigg,   224.00,4.4 out of 5 stars,401
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017),http://www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1,Disha Experts,   246.00,4.1 out of 5 stars,144
Science Textbook for Class 10- 1064,http://www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1,NCERT,   165.00,3.2 out of 5 stars,50
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",http://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1,Sudha Murty,   141.00,4.4 out of 5 stars,158
RRB Group D Guide Hindi 2018,http://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1,Arihant Experts,   193.00,4.1 out of 5 stars,14
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics,http://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1,DC Pandey,   249.00,4.2 out of 5 stars,78
Dharmayoddha Kalki: Avatar of Vishnu (Book 1),http://www.amazon.in/Dharmayoddha-Kalki-Avatar-Vishnu-Book/dp/8193503309?_encoding=UTF8&psc=1,Kevin Missal,   175.00,4.4 out of 5 stars,137
Objective General English,http://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1,S.P. Bakshi,   213.00,4.2 out of 5 stars,"1,416"
12 Years' Solved Papers CBSE AIPMT & NEET,http://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1,Arihant Experts,   244.00,4.0 out of 5 stars,26
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear,http://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1,Lakhmir Singh,"   1,122.00",3.7 out of 5 stars,14
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics,http://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1,Amit M Agarwal,   249.00,4.3 out of 5 stars,76
Life is What You Make It,http://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1,Preeti Shenoy,   81.00,3.9 out of 5 stars,"2,563"
Picture Books Collection for Early Learning,http://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1,E C Axus,   240.00,4.0 out of 5 stars,102
The Oath of the Vayuputras (Shiva Trilogy),http://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1,Amish Tripathi,   243.00,4.4 out of 5 stars,"1,413"
Harry Potter and the Philosopher's Stone,http://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1,J.K. Rowling,   349.00,4.7 out of 5 stars,771
Who Will Cry When You Die?,http://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1,Robin Sharma,   149.00,4.4 out of 5 stars,"2,427"
Handbook of Physics,http://www.amazon.in/Handbook-Physics-Nipendra-Bhatnagar/dp/9352036034?_encoding=UTF8&psc=1,Nipendra Bhatnagar,   109.00,4.4 out of 5 stars,293
not available,http://www.amazon.in/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1,1,not available,4.0 out of 5 stars,1
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry,http://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1,Ranjeet Shahi,   249.00,3.9 out of 5 stars,75
Man's Search for Meaning,http://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1,Viktor E Frankl,   214.00,4.2 out of 5 stars,461
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover,http://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1,Amish Tripathi,   219.00,4.1 out of 5 stars,"4,383"
Concepts of Physics 1,http://www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1,H.C. Verma,   327.00,4.6 out of 5 stars,640
The Theory of Everything,http://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1,Stephen Hawking,   195.00,4.5 out of 5 stars,371
To Kill a Mockingbird,http://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1,Harper Lee,   230.00,4.3 out of 5 stars,"1,049"
How to Prepare for Quantitative Aptitude for the CAT,http://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1,Arun Sharma,   544.00,4.2 out of 5 stars,231
History of Modern India,http://www.amazon.in/History-Modern-India-Bipan-Chandra/dp/8125036849?_encoding=UTF8&psc=1,Bipan Chandra,   235.00,4.0 out of 5 stars,602
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude,http://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1,KVS Madaan,   337.00,4.3 out of 5 stars,177
Mathematics Textbook for Class - 10  - 1062,http://www.amazon.in/Mathematics-Textbook-Class-10-1062/dp/8174506349?_encoding=UTF8&psc=1,NCERT,   140.00,3.8 out of 5 stars,33
Handbook of Chemistry,http://www.amazon.in/Handbook-Chemistry-R-P-Singh/dp/9352036042?_encoding=UTF8&psc=1,R P Singh,   138.00,4.3 out of 5 stars,237
Trueman's UGC NET/SET General Paper I,http://www.amazon.in/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1,M. Gagan,   265.00,4.2 out of 5 stars,297
